MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION
ACURA,1.6EL,COMPACT,1.6,4,A4,X,10.5
ACURA,1.6EL,COMPACT,1.6,4,M5,X,9.8
ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.7
ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15.0
ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,11.4
ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,10.6
ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,10.8
ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,15.2
ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,15.4
AUDI,A4,COMPACT,1.8,4,A5,Z,12.9
AUDI,A4,COMPACT,1.8,4,M5,Z,11.1
AUDI,A4,COMPACT,2.8,6,A5,Z,14.6
AUDI,A4,COMPACT,2.8,6,M5,Z,13.2
AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,13.6
AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.1
AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,14.9
AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,14.3
AUDI,A6,MID-SIZE,2.8,6,A5,Z,15.0
AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.4
AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,15.2
AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.2
AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,15.4
AUDI,A6 QUATTRO,MID-SIZE,2.8,6,M5,Z,14.6
AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.5
AUDI,A8 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.5
AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,15.2
AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,15.2
AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,13.1
AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,M6,Z,13.1
AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,12.3
AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,13.1
